"","state","account_length","area_code","international_plan","voice_mail_plan","number_vmail_messages","total_day_minutes","total_day_calls","total_day_charge","total_eve_minutes","total_eve_calls","total_eve_charge","total_night_minutes","total_night_calls","total_night_charge","total_intl_minutes","total_intl_calls","total_intl_charge","number_customer_service_calls","churn"
"1","HI",101,"area_code_510","no","no",0,70.9,123,12.05,211.9,73,18.01,236,73,10.62,10.6,3,2.86,3,"no"
"2","MT",137,"area_code_510","no","no",0,223.6,86,38.01,244.8,139,20.81,94.2,81,4.24,9.5,7,2.57,0,"no"
"3","OH",103,"area_code_408","no","yes",29,294.7,95,50.1,237.3,105,20.17,300.3,127,13.51,13.7,6,3.7,1,"no"
"4","NM",99,"area_code_415","no","no",0,216.8,123,36.86,126.4,88,10.74,220.6,82,9.93,15.7,2,4.24,1,"no"
"5","SC",108,"area_code_415","no","no",0,197.4,78,33.56,124,101,10.54,204.5,107,9.2,7.7,4,2.08,2,"no"
"6","IA",117,"area_code_415","no","no",0,226.5,85,38.51,141.6,68,12.04,223,90,10.04,6.9,5,1.86,1,"no"
"7","ND",63,"area_code_415","no","yes",32,218.9,124,37.21,214.3,125,18.22,260.3,120,11.71,12.9,3,3.48,1,"no"
"8","LA",94,"area_code_408","no","no",0,157.5,97,26.78,224.5,112,19.08,310.8,106,13.99,11.1,6,3,0,"no"
"9","MO",138,"area_code_510","no","no",0,89.1,117,15.15,126.8,46,10.78,190.5,71,8.57,9.9,4,2.67,2,"no"
"10","TX",128,"area_code_415","no","yes",43,177.8,100,30.23,147.3,89,12.52,194.2,92,8.74,11.9,1,3.21,0,"no"
"11","AR",113,"area_code_510","no","yes",39,209.8,77,35.67,164.1,90,13.95,159.7,100,7.19,9,4,2.43,1,"no"
"12","TX",140,"area_code_415","no","no",0,93.2,109,15.84,197.6,116,16.8,219.8,94,9.89,10.5,2,2.84,1,"no"
"13","ME",102,"area_code_415","no","no",0,228.1,86,38.78,156,97,13.26,227.9,124,10.26,10.6,9,2.86,1,"no"
"14","ND",108,"area_code_415","no","no",0,112.6,86,19.14,114.9,101,9.77,177.8,119,8,7.2,6,1.94,3,"no"
"15","DE",60,"area_code_408","no","no",0,207.3,77,35.24,207.9,105,17.67,108.2,89,4.87,12.9,5,3.48,1,"no"
"16","MN",96,"area_code_408","no","no",0,208.1,93,35.38,189.2,107,16.08,279.6,90,12.58,7.4,2,2,1,"no"
"17","KS",178,"area_code_415","no","yes",22,112.8,66,19.18,232.6,100,19.77,194.8,119,8.77,14.3,3,3.86,1,"no"
"18","MN",75,"area_code_415","no","no",0,225.3,124,38.3,228,81,19.38,254.3,106,11.44,11.7,3,3.16,1,"no"
"19","NC",106,"area_code_415","no","yes",25,169.4,105,28.8,240.5,108,20.44,159.4,114,7.17,13.9,5,3.75,4,"no"
"20","HI",158,"area_code_510","no","no",0,193.3,121,32.86,208.1,97,17.69,228.1,99,10.26,7.1,9,1.92,1,"no"
"21","NV",111,"area_code_415","no","yes",35,161.2,142,27.4,159.1,104,13.52,167.9,98,7.56,14.7,5,3.97,1,"no"
"22","CO",102,"area_code_510","no","no",0,95.6,88,16.25,167.6,106,14.25,177.3,95,7.98,9.8,2,2.65,3,"no"
